754;笠;BAMBOO HAT
755;星;STAR
756;汁;JUICE ・ SOUP
757;斗;DIPPER ・ <TO> (18L)
758;料;FEE ・ MATERIALS
759;科;SUBJECT OF STUDY
760;然;-LIKE ・ SO
761;燃;BURN
762;黙;SILENT
763;獣;BEAST
764;猟;HUNTING
765;漁;FISHING
766;狩;HUNT
767;猛;FEROCIOUS
768;煙;SMOKE
769;焼;BURN
770;暁;DAWN
771;旧;FORMER
772;児;CHILD
773;亦;ALSO
774;赤;RED
775;変;CHANGE ・ ABNORMAL
776;蛮;BARBARIAN
777;恋;LOVE
778;愛;LOVE
779;憂;BE ANXIOUS ・ GRIEF
780;優;SUPERIOR ・ ACTOR ・ KIND
781;栗;CHESTNUT
782;票;SLIP OF PAPER ・ BALLOT
783;標;MARK
784;漂;DRIFT
785;遷;TRANSFER
786;各;EACH
787;客;VISITOR ・ CUSTOMER
788;路;ROAD
789;格;NORM ・ STATUS ・ CHARACTER
790;絡;INTERLINK ・ ENTWINE
791;略;LEAVE OUT ・ STRATEGY
792;閣;GRAND BUILDING ・ CABINET
793;落;FALL
794;南;SOUTH
795;西;WEST
796;酉;THE BIRD
797;酒;ALCOHOLIC DRINK
798;洒;SPRINKLE
799;配;DISTRIBUTE ・ PUT IN ORDER
800;酸;ACID ・ OXYGEN
801;猶;DELAY
802;尊;HONOR
803;遵;OBEY
804;導;GUIDE
805;敬;RESPECT
806;警;GUARD AGAINST ・ WARN
807;驚;SURPRISE
808;散;SCATTER
809;敢;BOLDLY
810;厳;SEVERE ・ SOLEMN
811;仏;BUDDHA
812;払;CLEAR AWAY ・ PAY
813;拡;ENLARGE
814;可;POSSIBLE ・ APPROVE
815;何;WHAT ・ HOW MANY
816;苛;TORMENT
817;荷;LOAD
818;河;RIVER
819;阿;PHONETIC [A]
820;司;ADMINISTER
821;伺;INQUIRE
822;詞;WORDS
823;飼;RAISE ANIMALS
824;冊;COUNTER FOR BOOKS
825;嗣;HEIR
826;覗;PEEK
827;歌;SONG ・ JAPANESE POEM
828;唄;DITTY
829;負;BEAR ・ LOSE
830;敗;BE DEFEATED
831;責;RESPONSIBILITY ・ BLAME
832;積;ACCUMULATE
833;債;DEBT ・ BOND
834;漬;PICKLE
835;紡;SPIN
836;績;ACHIEVEMENTS
837;具;IMPLEMENT
838;真;1
839;直;STRAIGHT ・ PUT STRAIGHT
840;植;PLANT
841;殖;MULTIPLY
842;値;VALUE
843;置;PLACE
844;県;PREFECTURE
845;州;STATE ・ SANDBAR
846;洲;SANDBAR
847;接;CONTACT
848;継;SUCCEED
849;断;CUT OFF ・ DECIDE
850;応;RESPOND TO
851;床;BED ・ FLOOR
852;麻;HEMP ・ BECOME NUMB
853;歴;PERSONAL HISTORY
854;暦;CALENDAR
855;臨;ATTEND ・ CONFRONT
856;園;GARDEN
857;遠;DISTANT
858;与;GIVE ・ TAKE PART IN
859;写;COPY
860;移;MOVE
861;卸;WHOLESALE
862;御;GENERAL HONORIFIC TERM
863;複;COMPOUND
864;腹;BELLY
865;復;RETURN TO
866;往;GO ON
867;柱;PILLAR
868;征;CONQUER
869;従;FOLLOW
870;徒;FOLLOWER ・ FELLOW(S) ・ GOING ON FOOT
871;縦;VERTICAL
872;延;EXTEND ・ POSTPONE
873;伸;STRETCH
874;紳;GENTLEMAN
875;縮;SHRINK
876;誕;BE BORN
877;廷;COURT
878;庭;COURTYARD ・ GARDEN
879;艇;BOAT
880;展;UNFOLD ・ DISPLAY
881;殿;PALACE ・ FORMAL HONORIFIC TITLE
882;異;DIFFERENT
883;翼;WING
884;累;CUMULATE ・ ENCUMBER
885;塁;BASE ・ SMALL FORT
886;吏;OFFICIAL
887;使;USE ・ ENVOY
888;史;HISTORY
889;更;RENEW ・ FURTHERMORE ・ GROW LATE
890;便;CONVENIENT ・ POSTAL DELIVERY ・ EXCRETA
891;硬;HARD
892;能;ABILITY ・ NOH DRAMA
893;態;STATE ・ POSTURE
894;熊;BEAR
895;罷;DISCONTINUE
896;羅;LINE UP ・ PHONETIC [RA]
897;雲;CLOUD
898;曇;CLOUDY
899;雪;SNOW
900;雷;THUNDER
901;零;ZERO
902;震;QUAKE
903;振;SWING
904;久;OF LONG DURATION
905;賑;FLOURISH
906;丘;HILL
907;兵;SOLDIER
908;岳;HIGH MOUNTAIN
909;浜;BEACH
910;舎;HUT
911;再;AGAIN
912;虎;TIGER
913;寅;THE TIGER
914;演;PERFORM
915;黄;YELLOW
916;横;SIDEWAYS ・ ARBITRARY
917;構;CONSTRUCT ・ MIND
918;講;LECTURE
919;購;PURCHASE
920;溝;CHANNEL
921;仮;TEMPORARY ・ FAKE
922;片;FRAGMENT ・ ONE OF TWO
923;版;PRINTING PLATE ・ PUBLISHING
924;板;BOARD ・ PLATE
925;販;ENGAGE IN SALES
926;義;RIGHTEOUSNESS ・ MEANING ・ SUBSTITUTE
927;議;DISCUSS ・ LEGISLATIVE BODY
928;儀;CEREMONY
929;犠;SACRIFICE
930;牲;SACRIFICE
931;旨;PURPORT
932;指;FINGER ・ POINT
933;揮;BRANDISH
934;輝;SHINE BRILLIANTLY
935;刺;PIERCE
936;策;SCHEME ・ MEASURE
937;差;DIVERGENCE
938;着;PUT ON ・ ARRIVE ・ STICK
939;看;OBSERVE
940;到;ARRIVE
941;倒;TOPPLE
942;論;ARGUE ・ THEORY
943;倫;MORALS
944;輪;WHEEL ・ RING
945;輸;TRANSPORT
946;諭;ADMONISH
947;愉;PLEASED
948;癒;HEAL
949;台;STAND ・ COUNTER FOR MACHINES AND VEHICLES ・ TAIWAN
950;治;GOVERN ・ CURE
951;冶;WORK METALS
952;療;TREAT
953;僚;COLLEAGUE
954;瞭;CLEAR
955;寮;DORMITORY
956;始;BEGIN
957;終;END
958;了;FINISH ・ COMPREHEND
959;承;AGREE TO ・ RECEIVE
960;蒸;STEAM
961;舞;DANCE
962;隣;NEIGHBOR
963;瞬;BLINK
964;夢;DREAM
965;枝;BRANCH
966;技;SKILL
967;伎;PERFORMANCE
968;岐;DIVERGE
969;峠;MOUNTAIN PASS
970;阜;MOUND
971;急;URGENT ・ HURRY ・ SUDDEN
972;争;CONTEND
973;情;EMOTION ・ ACTUAL CONDITIONS
974;清;CLEAR
975;晴;CLEAR SKY
976;精;REFINED ・ ESSENCE ・ SPIRIT
977;請;REQUEST
978;静;QUIET
979;浄;CLEAN
980;算;CALCULATE
981;答;ANSWER
982;符;SYMBOL
983;博;EXTENSIVE ・ DOCTOR, Ph.D.
984;縛;BIND
985;簿;RECORD BOOK
986;薄;THIN
987;采;GATHER
988;菜;VEGETABLE
989;採;PICK ・ GATHER
990;彩;BEAUTIFUL COLORING
991;杉;CRYPTOMERIA
992;街;CITY QUARTER
993;術;PRACTICAL ART
994;述;STATE
995;余;REMAINING ・ EXCESS
996;除;RID OF
997;徐;SLOWLY
998;叙;DESCRIBE
999;斜;OBLIQUE
1000;途;WAY
